timestamp,can_id,dlc,payload_hex,label,attack_type,attack_id
1762478275.777043,0x1a0,8,070000f020300249,benign,,
1762478275.8864386,0xc4,8,0000000000000000,benign,,
1762478275.889325,0xba,8,0032643241000009,benign,,
1762478275.890771,0xce,8,6f006f006f006f00,benign,,
1762478275.892493,0x24b,8,0008000000000000,benign,,
1762478275.9000525,0x2f6,8,0800000000000000,benign,,
1762478275.9051564,0x1b4,8,0000000000000000,benign,,
1762478275.9586585,0x1a0,8,030064f1203002aa,benign,,
1762478276.1043983,0xc4,8,0000000000000000,benign,,
1762478276.107757,0xba,8,0032643241000009,benign,,
1762478276.110548,0xce,8,3700370037003700,benign,,
1762478276.117755,0x24b,8,0008000000000000,benign,,
1762478276.1291595,0x2f6,8,0800000000000000,benign,,
1762478276.1323783,0x1b4,8,0000000000000000,benign,,
1762478276.1657493,0x1a0,8,011000f020300253,benign,,
1762478276.2740512,0xc4,8,f6f9f9f9f90000da,benign,,
1762478276.2769032,0xba,8,0032643241000009,benign,,
1762478276.2786536,0xce,8,0e000e000e000e00,benign,,
1762478276.2810943,0x24b,8,0008000000000000,benign,,
1762478276.2956324,0x2f6,8,0800000000000000,benign,,
1762478276.3031137,0x1b4,8,0000000000000000,benign,,
1762478276.3509326,0x1a0,8,001000f020300252,benign,,
1762478276.4700303,0xc4,8,ecf2f4f2f40000b8,benign,,
1762478276.4732869,0xba,8,0032643241000009,benign,,
1762478276.4746914,0xce,8,0600060006000600,benign,,
1762478276.476369,0x24b,8,0008000000000000,benign,,
1762478276.484998,0x2f6,8,0800000000000000,benign,,
1762478276.488025,0x1b4,8,0000000000000000,benign,,
1762478276.5224605,0x1a0,8,001000f020300252,benign,,
1762478276.6502416,0xc4,8,e2ebeeebee000094,benign,,
1762478276.6533067,0xba,8,0032643241000009,benign,,
1762478276.6547441,0xce,8,0200020002000200,benign,,
1762478276.6562114,0x24b,8,0008000000000000,benign,,
1762478276.6666808,0x2f6,8,0800000000000000,benign,,
1762478276.6705537,0x1b4,8,0000000000000000,benign,,
1762478276.722403,0x1a0,8,001000f020300252,benign,,
1762478276.9612324,0xc4,8,d8e4eae4ea000074,benign,,
1762478276.9757235,0xba,8,0032643241000009,benign,,
1762478303.015982,0xce,8,0000000000000000,benign,,
1762478303.0175202,0x24b,8,0008000000000000,benign,,
1762478303.0340073,0x2f6,8,0800000000000000,benign,,
1762478303.0368252,0x1b4,8,0000000000000000,benign,,
1762478303.0716531,0x1a0,8,061000f020300258,benign,,
1762478303.1884546,0xc4,8,dde8ede8ed000087,benign,,
1762478303.1920154,0xba,8,003264324101000a,benign,,
1762478303.1939876,0xce,8,6800680068006800,benign,,
1762478303.1960652,0x24b,8,0008000000000000,benign,,
1762478303.2038472,0x2f6,8,0800000000000000,benign,,
1762478303.2091427,0x1b4,8,0000000000000000,benign,,
1762478303.2450838,0x1a0,8,081000f02030025a,benign,,
1762478277.365237,0xc4,8,e3edf0edf000009d,benign,,
1762478277.3692262,0xba,8,003264324101000a,benign,,
1762478277.3712902,0xce,8,8400840084008400,benign,,
1762478277.3736997,0x24b,8,0008000000000000,benign,,
1762478277.3825896,0x2f6,8,0800000000000000,benign,,
1762478277.385944,0x1b4,8,0000000000000000,benign,,
1762478322.008886,0x1a0,8,050000f020300247,benign,,
1762478322.1032104,0xc4,8,0000000000000000,benign,,
1762478322.1051676,0xba,8,0032643241000009,benign,,
1762478322.1068997,0xce,8,5400540054005400,benign,,
1762478322.1135218,0x24b,8,0008000000000000,benign,,
1762478322.123401,0x2f6,8,0800000000000000,benign,,
1762478322.128645,0x1b4,8,0000000000000000,benign,,
1762478322.2033086,0x1a0,8,061000f020300258,benign,,
1762478322.2983701,0xc4,8,0000000000000000,benign,,
1762478322.3008063,0xba,8,0032643241000009,benign,,
1762478322.3022375,0xce,8,6400640064006400,benign,,
1762478322.3036788,0x24b,8,0008000000000000,benign,,
1762478322.314798,0x2f6,8,0800000000000000,benign,,
1762478322.316571,0x1b4,8,0000000000000000,benign,,
1762478322.3476336,0x1a0,8,011000f020300253,benign,,
1762478322.4475105,0xc4,8,0000000000000000,benign,,
1762478322.45249,0xba,8,0032643241000009,benign,,
1762478322.4539914,0xce,8,0800080008000800,benign,,
1762478322.455278,0x24b,8,0008000000000000,benign,,
1762478322.4612026,0x2f6,8,0800000000000000,benign,,
1762478322.4635766,0x1b4,8,0000000000000000,benign,,
1762478322.4901803,0x1a0,8,011000f020300253,benign,,
1762478322.5711176,0xc4,8,0000000000000000,benign,,
1762478322.5739825,0xba,8,0032643241000009,benign,,
1762478322.5754688,0xce,8,0c000c000c000c00,benign,,
1762478322.5772576,0x24b,8,0008000000000000,benign,,
1762478322.5860136,0x2f6,8,0800000000000000,benign,,
1762478322.5890985,0x1b4,8,0000000000000000,benign,,
1762478322.6164603,0x1a0,8,001000f020300252,benign,,
1762478322.6999035,0xc4,8,0000000000000000,benign,,
1762478322.7015455,0xba,8,0032643241000009,benign,,
1762478322.7028255,0xce,8,0600060006000600,benign,,
1762478322.7045217,0x24b,8,0008000000000000,benign,,
1762478322.7144845,0x2f6,8,0800000000000000,benign,,
1762478322.7174742,0x1b4,8,0000000000000000,benign,,
1762478322.7462387,0x1a0,8,011000f020300253,benign,,
1762478322.8418422,0xc4,8,0000000000000000,benign,,
1762478322.8460073,0xba,8,0032643241000009,benign,,
1762478322.8475792,0xce,8,0c000c000c000c00,benign,,
1762478322.8490539,0x24b,8,0008000000000000,benign,,
1762478322.8599267,0x2f6,8,0800000000000000,benign,,
1762478322.863103,0x1b4,8,0000000000000000,benign,,
1762478322.8967803,0x1a0,8,051000f020300257,benign,,
1762478322.987549,0xc4,8,0000000000000000,benign,,
1762478322.99002,0xba,8,003264324101000a,benign,,
1762478322.991551,0xce,8,4c004c004c004c00,benign,,
1762478322.9930642,0x24b,8,0008000000000000,benign,,
1762478323.0042217,0x2f6,8,0800000000000000,benign,,
1762478323.0072875,0x1b4,8,0000000000000000,benign,,
1762478323.0523884,0x1a0,8,071000f020300259,benign,,
1762478323.1535442,0xc4,8,0100000000000001,benign,,
1762478323.1559749,0xba,8,003264324101000a,benign,,
1762478323.1574812,0xce,8,6a006a006a006a00,benign,,
1762478323.1605656,0x24b,8,0008000000000000,benign,,
1762478323.170911,0x2f6,8,0800000000000000,benign,,
1762478323.173935,0x1b4,8,0000000000000000,benign,,
1762478323.2056456,0x1a0,8,081000f02030025a,benign,,
1762478323.311047,0xc4,8,0000000000000000,benign,,
1762478323.3148265,0xba,8,003264324101000a,benign,,
1762478323.316214,0xce,8,8600860086008600,benign,,
1762478323.3179126,0x24b,8,0008000000000000,benign,,
1762478323.3282444,0x2f6,8,0800000000000000,benign,,
1762478323.3321562,0x1b4,8,0000000000000000,benign,,
1762478323.3627331,0x1a0,8,0b1000f02030025d,benign,,
1762478297.4671605,0xc4,8,0000000000000000,benign,,
1762478297.4719782,0xba,8,003264324101000a,benign,,
1762478297.4738884,0xce,8,a900a900a900a900,benign,,
1762478297.4756377,0x24b,8,0008000000000000,benign,,
1762478297.4845529,0x2f6,8,0800000000000000,benign,,
1762478297.4865918,0x1b4,8,0000000000000000,benign,,
1762478297.5164115,0x1a0,8,0d1000f02030025f,benign,,
1762478297.62757,0xc4,8,0000000000000000,benign,,
1762478297.6289237,0xba,8,003264324101000a,benign,,
1762478297.6304145,0xce,8,d000d000d000d000,benign,,
1762478297.633702,0x24b,8,0008000000000000,benign,,
1762478297.642711,0x2f6,8,0800000000000000,benign,,
1762478297.6469996,0x1b4,8,0000000000000000,benign,,
1762478297.7281806,0x1a0,8,101000f020300262,benign,,
1762478297.82549,0xc4,8,0000000000000000,benign,,
1762478297.8285575,0xba,8,003264324101000a,benign,,
1762478297.8299177,0xce,8,0701070107010701,benign,,
1762478297.832483,0x24b,8,0008000000000000,benign,,
1762478297.8418436,0x2f6,8,0800000000000000,benign,,
1762478297.846028,0x1b4,8,0000000000000000,benign,,
1762478297.8927102,0x1a0,8,131000f020300265,benign,,
1762478297.9866803,0xc4,8,0000000000000000,benign,,
1762478297.9899013,0xba,8,003264324101000a,benign,,
1762478297.9914758,0xce,8,3001300130013001,benign,,
1762478297.993411,0x24b,8,0008000000000000,benign,,
1762478298.002274,0x2f6,8,0800000000000000,benign,,
1762478298.0049424,0x1b4,8,0000000000000000,benign,,
1762478298.0344183,0x1a0,8,131000f020300265,benign,,
1762478298.1415553,0xc4,8,0000000000000000,benign,,
1762478298.1448278,0xba,8,003264324101000a,benign,,
1762478298.1464999,0xce,8,3701370137013701,benign,,
1762478298.148497,0x24b,8,0008000000000000,benign,,
1762478298.1581013,0x2f6,8,0800000000000000,benign,,
1762478298.1608877,0x1b4,8,0000000000000000,benign,,
1762478298.193899,0x1a0,8,151000f020300267,benign,,
1762478298.306476,0xc4,8,0000000000000000,benign,,
1762478298.3093064,0xba,8,003264324101000a,benign,,
1762478298.3109095,0xce,8,5401540154015401,benign,,
1762478298.3127613,0x24b,8,0008000000000000,benign,,
1762478298.3242033,0x2f6,8,0800000000000000,benign,,
1762478298.3284662,0x1b4,8,0000000000000000,benign,,
1762478298.3721378,0x1a0,8,161000f020300268,benign,,
1762478298.4719343,0xc4,8,0000000000000000,benign,,
1762478298.4747229,0xba,8,0032643241000009,benign,,
1762478298.4776597,0xce,8,6701670167016701,benign,,
1762478298.4797328,0x24b,8,0008000000000000,benign,,
1762478298.4899912,0x2f6,8,0800000000000000,benign,,
1762478298.4938965,0x1b4,8,0000000000000000,benign,,
1762478298.5230677,0x1a0,8,1b1000f02030026d,benign,,
1762478298.606111,0xc4,8,0000000000000000,benign,,
1762478298.6102908,0xba,8,003264324102000b,benign,,
1762478298.6121035,0xce,8,b201b201b201b201,benign,,
1762478298.6134899,0x24b,8,0008000000000000,benign,,
1762478298.6219642,0x2f6,8,0800000000000000,benign,,
1762478298.62591,0x1b4,8,0000000000000000,benign,,
1762478298.6549487,0x1a0,8,1e1000f020300270,benign,,
1762478298.741952,0xc4,8,0000000000000000,benign,,
1762478298.7443368,0xba,8,003264324102000b,benign,,
1762478298.745566,0xce,8,de01de01de01de01,benign,,
1762478298.7476408,0x24b,8,0008000000000000,benign,,
1762478298.7575521,0x2f6,8,0800000000000000,benign,,
1762478298.763802,0x1b4,8,0000000000000000,benign,,
1762478298.8112998,0x1a0,8,20001ef120300281,benign,,
1762478298.9064574,0xc4,8,0000000000000000,benign,,
1762478298.9091043,0xba,8,003264324102000b,benign,,
1762478298.9109776,0xce,8,0102010201020102,benign,,
1762478298.9127688,0x24b,8,0008000000000000,benign,,
1762478298.9259024,0x2f6,8,0800000000000000,benign,,
1762478298.9304242,0x1b4,8,0000000000000000,benign,,
1762478298.9793906,0x1a0,8,1f001ef120300280,benign,,
1762478299.079561,0xc4,8,ff000000000000ff,benign,,
1762478299.0851812,0xba,8,003264324102000b,benign,,
1762478299.087099,0xce,8,f101f101f101f101,benign,,
1762478299.0894146,0x24b,8,0008000000000000,benign,,
1762478299.0988996,0x2f6,8,0800000000000000,benign,,
1762478299.1031888,0x1b4,8,0000000000000000,benign,,
1762478299.1422713,0x1a0,8,1d1000f02030026f,benign,,
1762478299.2526515,0xc4,8,0101010101000005,benign,,
1762478299.2555628,0xba,8,003264324102000b,benign,,
1762478299.257358,0xce,8,ce01ce01ce01ce01,benign,,
1762478299.2602994,0x24b,8,0008000000000000,benign,,
1762478299.2696114,0x2f6,8,0800000000000000,benign,,
1762478299.2741952,0x1b4,8,0000000000000000,benign,,
1762478299.3124068,0x1a0,8,1c1000f02030026e,benign,,
1762478299.444307,0xc4,8,feffffffff0000fa,benign,,
1762478299.4559114,0xba,8,003264324102000b,benign,,
1762478299.4658039,0xce,8,be01be01be01be01,benign,,
1762478299.472165,0x24b,8,0008000000000000,benign,,
1762478299.4856966,0x2f6,8,0800000000000000,benign,,
1762478299.4930904,0x1b4,8,0000000000000000,benign,,
1762478299.5521395,0x1a0,8,1e0000f020300260,benign,,
1762478299.6762242,0xc4,8,0503030303000011,benign,,
1762478299.6826842,0xba,8,003264324102000b,benign,,
1762478299.6913476,0xce,8,e401e401e401e401,benign,,
1762478299.703438,0x24b,8,0008000000000000,benign,,
1762478299.7239487,0x2f6,8,0800000000000000,benign,,
1762478299.7313423,0x1b4,8,0000000000000000,benign,,
1762478299.792629,0x1a0,8,1e001ef12030027f,benign,,
1762478299.9053547,0xc4,8,fdfefefefe0000f5,benign,,
1762478299.9146802,0xba,8,003264324102000b,benign,,
1762478299.9171178,0xce,8,e301e301e301e301,benign,,
1762478299.9186325,0x24b,8,0008000000000000,benign,,
1762478299.9409552,0x2f6,8,0800000000000000,benign,,
1762478299.945467,0x1b4,8,0000000000000000,benign,,
1762478299.9788554,0x1a0,8,1c1000f02030026e,benign,,
1762478300.0909863,0xc4,8,0704050405000019,benign,,
1762478300.0955904,0xba,8,003264324102000b,benign,,
1762478300.098508,0xce,8,bd01bd01bd01bd01,benign,,
1762478300.1005883,0x24b,8,0008000000000000,benign,,
1762478300.1082752,0x2f6,8,0800000000000000,benign,,
1762478300.1130476,0x1b4,8,0000000000000000,benign,,
1762478300.1473408,0x1a0,8,1b1000f02030026d,benign,,
1762478300.2446043,0xc4,8,0101010101000005,benign,,
1762478300.2481291,0xba,8,003264324102000b,benign,,
1762478300.2499244,0xce,8,ad01ad01ad01ad01,benign,,
1762478300.2515786,0x24b,8,0008000000000000,benign,,
1762478300.262214,0x2f6,8,0800000000000000,benign,,
1762478300.2680137,0x1b4,8,0000000000000000,benign,,
1762478300.3062296,0x1a0,8,1c1000f02030026e,benign,,
1762478300.4089258,0xc4,8,0b06070607000025,benign,,
1762478300.4117172,0xba,8,003264324102000b,benign,,
1762478300.413182,0xce,8,c201c201c201c201,benign,,
1762478300.4151936,0x24b,8,0008000000000000,benign,,
1762478300.4254303,0x2f6,8,0800000000000000,benign,,
1762478300.4326558,0x1b4,8,0000000000000000,benign,,
1762478300.4822013,0x1a0,8,1e0000f020300260,benign,,
1762478300.5776937,0xc4,8,150b0d0b0d000045,benign,,
1762478300.5799735,0xba,8,003264324102000b,benign,,
1762478300.581395,0xce,8,e301e301e301e301,benign,,
1762478300.58276,0x24b,8,0008000000000000,benign,,
1762478300.5918844,0x2f6,8,0800000000000000,benign,,
1762478300.594714,0x1b4,8,0000000000000000,benign,,
1762478300.626328,0x1a0,8,1f001ef120300280,benign,,
1762478300.7055137,0xc4,8,1b0e100e10000057,benign,,
