timestamp,can_id,dlc,payload_hex,label,attack_type,attack_id,VehicleSpeed,MovingForward,MovingReverse,BrakePressed,Brake_active,Damping_rate_full_throttle,Damping_rate_zero_throttle_clutch_engaged,Damping_rate_zero_throttle_clutch_disengaged,Checksum_416,SteeringPosition,FrontWheel,BackWheel,SteeringWheelFL,SteeringWheelFR,SteeringWheelBL,SteeringWheelBR,ManualGear,AutoGear,GearSwitchTime,Ratio,DownRatio,UpRatio,GearState,Checksum,Wheel_FL,Wheel_FR,Wheel_RL,Wheel_RR,Door_FL,Door_FR,Door_RL,Door_RR,TrunkStatus,MirrorStatus,LowBeam,HighBeam,Reverse,LightOff,Brake,RightBlinker,LeftBlinker,Fog,Interior,Special1,Special2,HandbrakeActive
1762525277.7360466,0x1a0,8,090000f02030024b,benign,,,9.0,0.0,0.0,0.0,0.0,0.15,2.0,0.35000000000000003,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762525277.8693848,0xc4,8,0000000000000000,benign,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762525277.8750784,0xba,8,033264324100000c,benign,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,1.0,0.5,0.65,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1762525277.8786125,0xce,8,8e008e008e008e00,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,8.875,8.875,8.875,8.875,,,,,,,,,,,,,,,,,,
1762525277.8813064,0x24b,8,0008000000000000,benign,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,
1762525277.889951,0x2f6,8,0800000000000000,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1762525277.895502,0x1b4,8,0000000000000000,benign,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0
1762525277.929131,0x1a0,8,010064f1203002a8,benign,,,1.0,0.0,0.0,1.0,1.0,0.15,2.0,0.35000000000000003,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762525278.0164647,0xc4,8,0000000000000000,benign,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762525278.0211687,0xba,8,033264324100000c,benign,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,1.0,0.5,0.65,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1762525278.023079,0xce,8,0e000e000e000e00,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,0.875,0.875,0.875,,,,,,,,,,,,,,,,,,
1762525278.0249758,0x24b,8,0008000000000000,benign,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,
1762525278.0324876,0x2f6,8,0800000000000000,benign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
